T,ACCX,ACCY,ACCZ,ROTX,ROTY,ROTZ
17838062,6.6,-6.52,0.87,-0.11,-0.08,0.12
17838086,6.44,-6.64,0.6,-0.17,-0.1,0.17
17838111,6.27,-6.53,0.61,-0.18,-0.12,0.17
17838136,6.08,-6.57,0.53,-0.17,-0.1,0.17
17838161,6.27,-6.83,0.47,-0.21,-0.08,0.21
17838186,6.44,-7.07,0.48,-0.19,-0.11,0.24
17838211,6.45,-7.36,0.47,-0.17,-0.14,0.26
17838236,6.34,-7.53,0.53,-0.17,-0.14,0.25
17838261,6.14,-7.4,0.57,-0.16,-0.12,0.22
17838290,5.85,-7.17,0.41,-0.14,-0.1,0.19
17838311,5.84,-6.97,0.35,-0.1,-0.08,0.13
17838336,6.25,-7.29,0.45,-0.07,-0.07,0.13
17838361,6.48,-7.38,0.28,-0.07,-0.06,0.13
17838387,6.32,-7.19,0.37,-0.03,-0.05,0.09
17838412,6.35,-7.16,0.57,0.01,-0.02,0.06
17838436,6.57,-7.21,0.7,0.04,-0.01,0.04
17838461,6.88,-7.4,0.91,0.08,0.02,0.03
17838486,6.79,-7.42,0.95,0.09,0.01,0.03
17838511,6.8,-7.49,0.99,0.09,0.02,0.03
17838537,7.03,-7.36,1,0.04,-0.01,0
17838561,6.97,-7.16,1.27,0.05,-0.02,-0.03
17838586,7.38,-7.4,1.27,0.06,0,-0.04
17838611,7.52,-7.47,1.03,0.06,-0.02,-0.03
17838637,7.04,-6.94,1.02,0.03,-0.06,-0.05
17838662,6.57,-6.54,1,0.01,-0.07,-0.06
17838800,7.21,-7.57,0.7,-0.03,-0.03,0.04
17838824,8.14,-8.58,0.71,-0.04,0,0.12
17838849,8.06,-9.14,0.38,-0.04,-0.02,0.13
17838874,7.3,-8.96,0.2,-0.07,-0.04,0.1
17838900,7.28,-9.22,0.23,-0.06,-0.03,0.09
17838924,7.83,-9.53,0.23,-0.06,-0.03,0.12
17838949,7.6,-9.39,0.15,-0.07,-0.03,0.14
17838974,6.82,-8.96,-0.01,-0.08,-0.05,0.14
17839000,6.42,-8.72,-0.02,-0.08,-0.04,0.16
17839024,6.85,-9.13,0.01,-0.07,-0.02,0.19
17839049,7.63,-9.81,0,-0.05,-0.02,0.2
17839075,7.46,-10.03,-0.15,-0.08,-0.02,0.21
17839100,6.51,-9.42,-0.22,-0.03,-0.03,0.14
17839124,6.26,-9.02,0.21,0.05,-0.02,0.08
17839149,6.71,-9.01,0.37,0.05,0.01,0.05
17839174,6.71,-8.6,0.37,0.08,0.01,0
17839200,6.34,-8.44,0.21,0.12,0.01,-0.02
17839224,6.01,-7.74,0,0.13,-0.03,-0.08
17839250,5.92,-7.18,0.32,0.14,-0.02,-0.12
17839275,6.21,-7.12,0.41,0.17,0,-0.12
17839300,6.06,-6.86,0.14,0.2,0.01,-0.12
17839324,5.91,-6.78,0.07,0.18,-0.01,-0.11
17839349,6.21,-6.75,0.09,0.15,-0.05,-0.09
17839375,6.22,-6.39,0.18,0.13,-0.06,-0.1
17839400,6.35,-6.31,0.4,0.12,-0.03,-0.07
17839424,6.72,-6.79,0.22,0.09,-0.03,-0.02
17839451,7.02,-6.88,0.09,0.03,-0.08,0.02
17839475,6.97,-6.84,0.46,0.01,-0.1,0.02
17839500,7.26,-7.31,0.61,0.03,-0.08,0.07
17839525,7.53,-7.72,0.34,0.01,-0.08,0.13
17839550,7.03,-7.76,0.31,-0.06,-0.07,0.15
